Strike,Expiry,Leverage
4702.7669230769225,0.5499999999999999,0.9804701937494263
4791.081794871795,0.5499999999999999,1.153586728235566
4879.3966666666665,0.5499999999999999,1.2377752141687337
4967.711538461539,0.5499999999999999,1.388242392550096
5056.026410256411,0.5499999999999999,1.6337343922902006
5144.341282051282,0.5499999999999999,1.8501497668883413
5232.656153846154,0.5499999999999999,1.9655041306873327
5320.971025641025,0.5499999999999999,1.9937858921952776
5409.285897435897,0.5499999999999999,1.9968648590668032
5497.6007692307685,0.5499999999999999,1.9797014454770785
5585.915641025641,0.5499999999999999,1.897902484844261
5674.230512820513,0.5499999999999999,1.7092335878741869
5762.545384615385,0.5499999999999999,1.4827222102257862
5850.860256410257,0.5499999999999999,1.3787620052473066
5939.175128205128,0.5499999999999999,1.5188242404385572
6027.49,0.5499999999999999,1.7365185506318281
2583.21,0.6,1.3536892515581158
2671.5248717948716,0.6,1.258416024057709
2759.8397435897436,0.6,1.224474180915541
2848.154615384615,0.6,1.1653481357980175
2936.4694871794873,0.6,1.0299138711226274
3024.784358974359,0.6,0.8573199001207356
3113.099230769231,0.6,0.8027088921920739
3201.4141025641024,0.6,0.9304667368450628
3289.7289743589745,0.6,1.1400324529795327
3378.043846153846,0.6,1.2719683930864614
3466.358717948718,0.6,1.3328297585449607
3554.6735897435897,0.6,1.4756409952042433
3642.9884615384617,0.6,1.5673183790089258
3731.3033333333333,0.6,1.4982662953973025
3819.618205128205,0.6,1.29906429678938
3907.933076923077,0.6,1.0801345569575804
3996.247948717949,0.6,0.9280010042941176
4084.5628205128205,0.6,0.8638129694033571
4172.877692307692,0.6,0.8337287217443875
4261.192564102565,0.6,0.809680200495444
4349.507435897436,0.6,0.7970458986289852
4437.822307692308,0.6,0.7541865392083665
4526.137179487179,0.6,0.718437168996361
4614.452051282051,0.6,0.7899331303203463
4702.7669230769225,0.6,0.9605977964291095
4791.081794871795,0.6,1.1361371445823518
4879.3966666666665,0.6,1.231218101376522
4967.711538461539,0.6,1.391090118817641
5056.026410256411,0.6,1.6383115780761301
5144.341282051282,0.6,1.8501402952511472
5232.656153846154,0.6,1.9617437987630002
5320.971025641025,0.6,1.9889426286039196
5409.285897435897,0.6,1.9939554445371195
5497.6007692307685,0.6,1.9962501153165768
5585.915641025641,0.6,1.9667637509021498
5674.230512820513,0.6,1.8630230609178045
5762.545384615385,0.6,1.7106532648967905
5850.860256410257,0.6,1.6320198254099154
5939.175128205128,0.6,1.7339415049718843
6027.49,0.6,1.8734926269082826
2583.21,0.65,1.7906673379111264
2671.5248717948716,0.65,1.6072742518800525
2759.8397435897436,0.65,1.3962301858126631
2848.154615384615,0.65,1.2624895645573968
2936.4694871794873,0.65,1.185719942887942
3024.784358974359,0.65,1.0258692577140032
3113.099230769231,0.65,0.9158709756776038
3201.4141025641024,0.65,0.9737116010010132
3289.7289743589745,0.65,1.159860074643673
3378.043846153846,0.65,1.288023741012798
3466.358717948718,0.65,1.307161711006593
3554.6735897435897,0.65,1.3239179723120258
3642.9884615384617,0.65,1.2319158759744624
3731.3033333333333,0.65,1.0090821535089562
3819.618205128205,0.65,0.7938449836762107
3907.933076923077,0.65,0.6978865826541091
3996.247948717949,0.65,0.728936030169258
4084.5628205128205,0.65,0.7970936737806813
4172.877692307692,0.65,0.8274022288900755
4261.192564102565,0.65,0.81470448723334
4349.507435897436,0.65,0.8012611056265778
